jpncore1#show ip ospf data

            OSPF Router with ID(10.30.95.1) (Process ID 1) (VRF default)


                 Router Link States (Area 0.0.0.0)

Link ID         ADV Router      Age         Seq#         Checksum Link count
10.30.47.1      10.30.47.1      105         0x80012918   0xce8    14
10.30.79.1      10.30.79.1      262         0x8000a63d   0x1c82   15
10.30.79.2      10.30.79.2      258         0x8000a639   0x4540   17
10.30.79.5      10.30.79.5      1859        0x8000999f   0x42a    3
10.30.47.2      10.30.47.2      1288        0x80012903   0xcb66   18
10.30.47.5      10.30.47.5      679         0x80011377   0x7804   5
10.30.63.2      10.30.63.2      1268        0x8000cdeb   0x67e8   15
10.30.31.9      10.30.31.9      1529        0x8000f59f   0x64c3   10
10.30.31.10     10.30.31.10     1224        0x8000f59a   0x86f1   7
10.30.31.4      10.30.31.4      269         0x80015734   0x1031   5
10.30.31.6      10.30.31.6      1033        0x80015d2d   0x60c6   9
10.30.31.7      10.30.31.7      406         0x8000f2ce   0xb00a   3
10.30.31.5      10.30.31.5      1878        0x80014b5a   0x8634   8
10.30.31.1      10.30.31.1      522         0x8001a220   0xa66b   13
10.30.31.3      10.30.31.3      1593        0x80015755   0xbddd   12
10.30.95.4      10.30.95.4      571         0x8000861f   0xa282   6
10.30.95.2      10.30.95.2      1593        0x8000a6d7   0x8979   13
10.30.95.3      10.30.95.3      1725        0x80008630   0x1c46   8
10.30.95.1      10.30.95.1      1600        0x8000a705   0xeb13   16
10.30.63.1      10.30.63.1      575         0x8000cde6   0xbf31   14

                 Type-5 AS External Link States

Link ID         ADV Router      Age         Seq#         Checksum Tag
171.147.239.197 10.30.47.5      679         0x80003e1e   0x4809   0
10.201.0.87     10.30.31.1      1722        0x800004e1   0xb048   0
170.240.0.0     10.30.47.5      679         0x80010e9e   0x7dde   0
10.66.0.76      10.30.31.1      1122        0x800035bd   0x955    0
10.28.132.128   10.30.47.5      679         0x80005fcd   0x7cd4   0
10.16.32.74     10.30.47.5      1668        0x800000ff   0x5fbe   0
10.16.32.71     10.30.47.5      1668        0x800000ff   0x7da3   0
10.4.92.28      10.30.47.5      1668        0x800000ff   0x27f4   0
10.28.134.1     10.30.47.5      679         0x80005fcd   0x8b3c   0
10.66.0.74      10.30.31.1      1122        0x800035bd   0x1d43   0
10.13.5.101     10.30.47.5      679         0x800107e2   0xbf76   0
10.65.2.146     10.30.31.1      1122        0x800035bd   0x40d6   0
10.65.16.163    10.30.31.1      1122        0x800035bd   0xfafc   0
10.65.0.50      10.30.31.1      1122        0x800035bd   0x1a5f   0
10.65.0.123     10.30.31.3      1593        0x800124e6   0x893f   0
10.65.0.128     10.30.31.1      1122        0x800035bd   0xb20    0
10.65.0.128     10.30.31.3      1593        0x800124e6   0x576c   0
10.65.0.50      10.30.31.3      1593        0x80011e92   0x214b   0
10.65.16.158    10.30.31.1      1122        0x800035bd   0x2dcf   0
10.65.16.162    10.30.31.1      1122        0x800035bd   0x5f3    0
10.65.16.130    10.30.31.1      1122        0x800035bd   0x46d2   0
10.65.16.34     10.30.31.3      1593        0x8000dd89   0xe607   0
10.65.16.30     10.30.31.3      1593        0x8000dd89   0xfe2    0
10.65.16.157    10.30.31.1      1122        0x800035bd   0x37c6   0
10.65.16.25     10.30.31.3      1593        0x80013811   0x1ff4   0
